2026-04-22 16:08:50,357 | INFO | haver_api | Starting sync run | run_id=20260422_160850_8bfb3554, app_log_path=D:\haver_api\logs\app_2026-04-22.log, summary_log_path=D:\haver_api\logs\summary_2026-04.csv
2026-04-22 16:08:50,357 | INFO | haver_api.db | No certificate bundle configured
2026-04-22 16:08:54,959 | INFO | haver_api.haver | Initialized Haver client
2026-04-22 16:08:54,966 | INFO | haver_api | Loaded tickers.csv | ticker_total=363
2026-04-22 16:08:55,742 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:08:56,356 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:08:56,356 | INFO | haver_api.haver | Fetching metadata | ticker_count=363
2026-04-22 16:08:59,986 | INFO | haver_api.haver | Metadata fetch complete | metadata_rows=361
2026-04-22 16:09:00,640 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:00,640 | INFO | haver_api.db | Ensured table exists | table_name=haver_metadata, column_count=19
2026-04-22 16:09:01,368 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:01,368 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_metadata, chunk_start=0, chunk_rows=361
2026-04-22 16:09:01,368 | INFO | haver_api.db | Completed upsert | table_name=haver_metadata, rows_uploaded=0, total_rows=361
2026-04-22 16:09:01,369 | INFO | haver_api | Metadata sync complete | metadata_rows=361, rows_uploaded_metadata=0
2026-04-22 16:09:01,530 | INFO | haver_api | Built sync tasks | ticker_skipped=0, ticker_backfill=0, ticker_fetched=361
